#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-12-14T17:46:42 [V7.32.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-12-14T17:46:42	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=sexa
#-out.max=unlimited
#-out.all=2
#-nav=cat:I/357&tab:{I/357/tbosb2}&key:source=I/357/tbosb2&HTTPPRM:&&-ref=VIZ657a1080303950&-file=.&-oc.form=sexa&-c.r=  2&-c.geom=r&-order=I&-out.form=verb&-out.orig=standard&-out=Source&-out=NSSmodel&-out=RA_ICRS&-out=DE_ICRS&-out=Per&-out=Tperi&-out=ecc&-out=Vcm&-out=K1&-out=K2&-out=omega&-out=Flags&-out=_RA.icrs&-out=_DE.icrs&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=50&-out.form=HTML Table&-c.eq=J2000&-c.u=arcmin&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=I/357/tbosb2
#-order=I
#-out.orig=standard
#-out=SolID
#-out=Source
#-out=NSSmodel
#-out=RA_ICRS
#-out=DE_ICRS
#-out=Per
#-out=e_Per
#-out=Tperi
#-out=e_Tperi
#-out=ecc
#-out.all=2
#-out=e_ecc
#-out=Vcm
#-out=e_Vcm
#-out=K1
#-out=e_K1
#-out=K2
#-out=e_K2
#-out=omega
#-out=e_omega
#-out=NRVp
#-out=NgRVp
#-out=NRVs
#-out=NgRVs
#-out.all=2
#-out=bitIndex
#-out=ObjFunc
#-out=goodness
#-out=eff
#-out=Signi
#-out=Flags
#-out=ConfPersp
#-out=_RA.icrs
#-out=_DE.icrs
#-out.all=2
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.6	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_1357
#Name: I/357
#Title: Gaia DR3 Part 3. Non-single stars (Gaia Collaboration, 2022)
#INFO	ivoid=ivo://cds.vizier/i/357	
#INFO	publisher=CDS	
#INFO	creator=Gaia collaboration	
#INFO	related_resource=bibcode:2022yCat.1357....0G	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/357	
#INFO	publication_date=2022-10-17	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Coosys	H_2016.000:	ICRS
#Table	I_357_tbosb2:
#Name: I/357/tbosb2
#Title: Non-single-star orbital models for sources compatible with Double Lined Spectroscopic binary model (nss_two_body_orbit)
#Column	SolID	(I19)	Solution Identifier (solution_id)	[ucd=meta.version]
#Column	Source	(I19)	Source Identifier (source_id)	[ucd=meta.id;meta.main]
#Column	NSSmodel	(A3)	[SB2] NSS model adopted (nss_solution_type)	[ucd=meta.record]
#Column	RA_ICRS	(F15.11)	Right ascension (ICRS) at Ep=2016.0 (added by CDS) (ra)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F15.11)	Declination (ICRS) at Ep=2016.0 (added by CDS) (dec)	[ucd=pos.eq.dec;meta.main]
#Column	Per	(F22.17)	Orbital Period (period)	[ucd=time.period]
#Column	e_Per	(D14.7)	Standard error of Orbital Period (period_error)	[ucd=stat.error;time.period]
#Column	Tperi	(D22.15)	Periastron epoch relative to 2016.0 (t_periastron)	[ucd=time.epoch]
#Column	e_Tperi	(D13.6)	Standard error of Periastron epoch (t_periastron_error)	[ucd=stat.error;time.epoch]
#Column	ecc	(D21.14)	eccentricity (eccentricity)	[ucd=src.orbital.eccentricity]
#Column	e_ecc	(D13.6)	Standard error of eccentricity (eccentricity_error)	[ucd=stat.error;src.orbital.eccentricity]
#Column	Vcm	(F23.18)	The velocity of the center of mass (center_of_mass_velocity)	[ucd=phys.veloc]
#Column	e_Vcm	(F12.9)	Standard error of The velocity of the center of mass (center_of_mass_velocity_error)	[ucd=stat.error;phys.veloc]
#Column	K1	(F19.15)	Semi-amplitude of the center of mass (semi_amplitude_primary)	[ucd=phys.veloc]
#Column	e_K1	(F12.9)	Standard error of Semi-amplitude of the center of mass (semi_amplitude_primary_error)	[ucd=stat.error;phys.veloc]
#Column	K2	(F19.15)	The semiamplitude of the radial velocity curve for second component (semi_amplitude_secondary)	[ucd=spect.dopplerVeloc]
#Column	e_K2	(F12.9)	Standard error of The semiamplitude of the radial velocity curve for second component (semi_amplitude_secondary_error)	[ucd=stat.error]
#Column	omega	(F21.17)	Argument of periastron (arg_periastron)	[ucd=src.orbital.periastron]
#Column	e_omega	(F12.8)	Standard error of Argument of periastron (arg_periastron_error)	[ucd=stat.error]
#Column	NRVp	(I2)	Total number of radial velocities considered for the primary (rv_n_obs_primary)	[ucd=meta.number]
#Column	NgRVp	(I2)	Total number of radial velocities actually used for the primary (rv_n_good_obs_primary)	[ucd=meta.number]
#Column	NRVs	(I2)	Total number of radial velocities considered for the secondary in the case of SB2 (rv_n_obs_secondary)	[ucd=meta.number]
#Column	NgRVs	(I2)	Total number of radial velocities actually used for the secondary in the case of SB2 (rv_n_good_obs_secondary)	[ucd=meta.number]
#Column	bitIndex	(I3)	[255] boolean mask for the fields above in the corrVec matrix (bit_index) (1)	[ucd=meta.code.status]
#Column	ObjFunc	(F12.7)	value of the objective function at the solution (obj_func)	[ucd=stat.fit.param]
#Column	goodness	(F13.10)	goodness of fit in the Hipparcos sense (goodness_of_fit)	[ucd=stat.fit.goodness]
#Column	eff	(F12.9)	Efficiency of the solution (efficiency)	[ucd=stat.fit.param]
#Column	Signi	(F12.7)	The significance of the solution (i.e. how worth keeping a model is) (significance)	[ucd=stat.fit.param]
#Column	Flags	(I8)	Quality flag for the achieved NSS solution (flags) (G2)	[ucd=meta.code.error]
#Column	ConfPersp	(F6.3)	The probability of the period for not being due to (gaussian white) noise. Relevant for SB1 (conf_spectro_period)	[ucd=stat.probability]
#Column	_RA.icrs	(F15.11)	Right ascension (ICRS) at Epoch=J2016. (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F15.11)	Declination (ICRS) at Epoch=J2016. (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
SolID	Source	NSSmodel	RA_ICRS	DE_ICRS	Per	e_Per	Tperi	e_Tperi	ecc	e_ecc	Vcm	e_Vcm	K1	e_K1	K2	e_K2	omega	e_omega	NRVp	NgRVp	NRVs	NgRVs	bitIndex	ObjFunc	goodness	eff	Signi	Flags	ConfPersp	_RA.icrs	_DE.icrs
 	 	 	deg	deg	d	d	d	d	 	 	km/s	km/s	km/s	km/s	km/s	km/s	deg	deg	 	 	 	 	 	 	 	 	 	 	 	deg	deg
-------------------	-------------------	---	---------------	---------------	----------------------	--------------	----------------------	-------------	---------------------	-------------	-----------------------	------------	-------------------	------------	-------------------	------------	---------------------	------------	--	--	--	--	---	------------	-------------	------------	------------	--------	------	---------------	---------------
4338096422163308546	6030061691987260672	SB2	254.96096056049	-28.96330683838	   6.59102530370632334	 1.7807255e-03	 6.030099011486096e-01	 7.469288e-02	 2.09337789434167e-01	 4.087297e-02	  22.908142695229241070	 0.844757900	 56.347669933055144	 1.757842900	 60.370528683651415	 1.759267200	 18.40428994980459265	  5.66573860	17	17	17	17	255	  31.0283300	 1.3088815000	 0.303307770	  32.0550080	 8388608	 1.000	254.96096056049	-28.96330683838
4338096422163308546	6027732067367229312	SB2	253.65195295154	-31.33447478471	 416.11122523762713854	 8.8908374e-01	-1.885279427477097e+02	 3.106218e+00	 1.80593608344164e-01	 6.948875e-03	  28.301807114720663350	 0.079508305	 16.164966173255738	 0.175655380	 18.969213480510785	 0.180941120	344.31248512213551294	  2.61031130	24	24	24	24	255	 322.2301300	13.7774950000	 0.501589950	  92.0265960	 8388608	 1.000	253.65195295154	-31.33447478471
4338096422163308546	4471229180415072000	SB2	272.04132647137	 +5.29590762525	   5.25491487195788043	 1.5889933e-04	-5.726527174775882e-01	 7.523663e-02	 1.16873377035509e-01	 1.291733e-02	  -5.295281822431949337	 0.498520020	 94.200901186308769	 1.254439500	 81.947908139165790	 0.880073500	295.69121142236610922	  5.36677930	14	14	14	14	255	 153.4087800	 9.6589970000	 0.408052300	  75.0940200	 8388608	 0.997	272.04132647137	 +5.29590762525
4338096422163308546	6061823043808944768	SB2	195.07311199512	-54.65861739189	 121.50459527652422764	 1.0163295e-01	 5.398100250684741e+01	 8.489683e-01	 4.08251852107501e-01	 1.142963e-02	   9.708478000237162675	 0.935604930	137.923608643018099	 4.982129000	137.756730000369146	 4.789239400	314.35262256690214144	  3.39877320	20	20	20	20	255	 400.7609000	16.1179540000	 0.370183020	  27.6836680	 8388608	 0.991	195.07311199512	-54.65861739189
4338096422163308546	6061869876161975296	SB2	198.19831400093	-59.98869874167	   7.78731008382426104	 4.4233978e-04	 8.211784208598086e-01	 7.078723e-02	 1.73796344463099e-01	 8.431873e-03	  21.493584273857006650	 0.467310600	 61.386667630847363	 1.295492300	 62.796516246054750	 1.372763800	328.76971576511334661	  3.50997830	18	18	18	18	255	 104.0300800	 6.6483820000	 0.450984480	  47.3848200	 8388608	 0.996	198.19831400093	-59.98869874167
4338096422163308546	6061924645561038208	SB2	198.23205623783	-59.81707219959	   4.23341119364421647	 9.1916430e-06	-1.266739525224122e+00	 3.666581e-01	 1.64807297208389e-03	 9.130257e-04	  15.464583869650963877	 0.048110110	 84.379699260634695	 0.102643415	 84.499811210142980	 0.102665700	 43.90985497575105967	 31.18226200	29	29	29	29	255	 662.8365000	20.6927570000	 0.140480310	 822.0664000	 8388608	 1.000	198.23205623783	-59.81707219959
4338096422163308546	5792748840257700480	SB2	229.42762028213	-74.08333014589	   2.42572866190108405	 2.0009169e-05	 2.275001966853389e-01	 1.769377e-01	 1.72872060814331e-02	 6.145881e-03	 -27.024198964639126075	 0.386197120	103.632153752192380	 0.855812800	103.703179057742489	 0.750680700	 45.03432609911635609	 26.14667700	21	21	21	21	255	 192.8416000	10.0707445000	 0.246870150	 121.0920900	 8388608	 1.000	229.42762028213	-74.08333014589
4338096422163308546	5277159216325758848	SB2	122.65051981507	-64.04652364947	   4.86047039578278284	 5.6256118e-05	 3.130194504927921e-01	 1.603978e-01	 2.19404671655672e-02	 6.164469e-03	  40.207911923951087374	 0.293660580	 86.482523425230738	 0.634986900	 79.196697864097615	 0.778225400	 58.53770161668773397	 11.81513200	13	13	13	13	255	  83.8469850	 6.6029190000	 0.280264400	 136.1957700	 8388608	 0.998	122.65051981507	-64.04652364947
4338096422163308546	5278007833145415552	SB2	123.68394713424	-62.27810818118	   7.23014501719783631	 2.4593907e-04	 1.718700007696304e+00	 3.795541e-01	 2.63574387389369e-02	 9.003258e-03	   8.994572778442949001	 0.427007940	 72.352507084215816	 0.995392400	 80.147571468538928	 0.975934100	 37.87657646610349360	 19.06728700	14	14	14	14	255	  53.9876440	 4.3595210000	 0.306124800	  72.6874200	 8388608	 1.000	123.68394713424	-62.27810818118
4338096422163308546	 357288884723492480	SB2	 26.05736583504	+48.21126100150	   4.03192662498656063	 6.8194890e-05	 1.128022539111851e+00	 4.782876e-02	 1.40665390305218e-01	 7.237269e-03	  -3.677191006924621419	 0.687616650	118.224070958229660	 1.290527900	114.898445752185722	 1.909812500	101.75209772180670598	  4.69735500	13	13	13	13	255	 204.2194700	11.5824030000	 0.426673260	  91.6090800	 8388608	 0.992	 26.05736583504	+48.21126100150
4338096422163308546	 358975054525240832	SB2	 31.24499105821	+51.32750440480	   2.96862574779017407	 9.3324816e-05	 8.018743221717030e-01	 3.337235e-02	 2.32145321303562e-01	 2.498341e-02	 -15.842870305839264589	 0.794802840	 99.939872975433957	 4.285629700	 97.928173090728322	 4.246846000	359.15272495649196571	  4.57798670	10	10	10	10	255	   6.0846620	-0.3564510000	 0.269692570	  23.3197630	 8396800	 0.977	 31.24499105821	+51.32750440480
4338096422163308546	2053869548687794048	SB2	304.22906768544	+31.50515763562	   5.07458574192603074	 7.5778490e-05	-2.050370399210441e+00	 8.586794e-03	 6.45448350120311e-01	 4.506131e-03	   8.952369253045608488	 0.235633950	 56.179681161839291	 0.483640730	 73.184956519567308	 0.753821100	 69.74980385356342083	  0.90919880	28	28	28	28	255	3097.7195000	44.1024400000	 0.578807400	 116.1599500	 8388608	 1.000	304.22906768544	+31.50515763562
4338096422163308546	2054065674074805632	SB2	303.72710267550	+31.53261863685	   5.78335820679055157	 8.4761430e-05	-2.445550290723673e+00	 5.912883e-02	 5.17902125714357e-02	 4.693170e-03	 -40.327219488369188127	 0.134260970	 49.109436379147155	 0.282030080	 64.252533793024597	 0.235706060	 68.40164479448208112	  3.64159270	19	19	19	19	255	1705.8147000	32.9018330000	 0.398818940	 174.1283600	 8388608	 1.000	303.72710267550	+31.53261863685
4338096422163308546	 246355067793387648	SB2	 62.52246621573	+48.31393941375	   0.75823213598344863	 4.9080850e-06	 3.633210662032724e-01	 4.209402e-03	 3.88298893311182e-01	 1.153921e-02	 -35.276838856003728040	 0.446498270	 45.535261227537582	 0.810253860	 45.500887836682708	 0.831767000	273.17924536318980699	  2.39121400	20	20	20	20	255	 249.7778000	12.1441630000	 0.727398630	  56.1987600	25165824	 0.996	 62.52246621573	+48.31393941375
